zipcode,borough,Population,Population Density,Housing Units,Median Home Value,Land Area,Water Area,Occupied Housing Units,Median Household Income,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,Two Or More Races,Husband Wife Family Households,Single Guardian,Singles,Singles With Roommate,Households without Kids,Households with Kids,In Occupied Housing Units,Correctional Facility For Adults,Juvenile Facilities,Nursing Facilities,Other Institutional,College Student Housing,Military Quarters,Other Noninstitutional,Owned Households With A Mortgage,Owned Households Free & Clear,Renter Occupied Households,Households Vacant,For Rent,Rented & Unoccupied,For Sale Only,Sold & Unoccupied,For Season Recreational Or Occasional Use,For Migrant Workers,Vacant For Other Reasons,Studio Apartment,1 Bedroom,2 Bedroom,3+ Bedroom,Worked Full-time with Earnings,Worked Part-time with Earnings,No Earnings,"Car, truck, or van",Public transportation,Taxicab,Motorcycle,"Bicycle, Walked, or Other Means",Worked at Home,Less than High School Diploma,High School Graduate,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Enrolled in Public School,Enrolled in Private School,Not Enrolled in School
10021,Manhattan,43631.0,112711.0,28628.0,1000001.0,0.39,0.0,24734.0,107907.0,18894.0,24737.0,38391.0,791.0,54.0,3182.0,13.0,413.0,787.0,7967.0,1153.0,13473.0,2141.0,21284.0,3450.0,42346.0,0.0,0.0,363.0,0.0,641.0,0.0,281.0,5208.0,4795.0,14731.0,3894.0,689.0,65.0,528.0,161.0,2162.0,1.0,288.0,2816.0,6893.0,3032.0,1293.0,19065.0,6543.0,10143.0,2453.0,11033.0,1962.0,37.0,5661.0,2106.0,914.0,4839.0,1031.0,12921.0,8263.0,4141.0,1831.0,1179.0,2322.0,491.0
10022,Manhattan,31924.0,73158.0,23485.0,866100.0,0.44,0.0,19253.0,109019.0,14487.0,17437.0,27590.0,592.0,31.0,2872.0,17.0,303.0,519.0,5674.0,831.0,10857.0,1891.0,17434.0,1819.0,31116.0,0.0,0.0,0.0,0.0,474.0,0.0,334.0,4737.0,4390.0,10126.0,4232.0,806.0,70.0,357.0,98.0,2533.0,1.0,367.0,2405.0,4664.0,1713.0,745.0,14563.0,5309.0,7455.0,2251.0,6887.0,1079.0,0.0,6442.0,1411.0,402.0,3869.0,543.0,10835.0,5151.0,3181.0,1024.0,591.0,1192.0,14.0
10023,Manhattan,60998.0,124357.0,39402.0,872500.0,0.49,0.0,34383.0,103534.0,27578.0,33420.0,49739.0,2854.0,124.0,5471.0,17.0,1350.0,1443.0,10008.0,2240.0,18660.0,3475.0,29428.0,4955.0,59207.0,0.0,0.0,29.0,0.0,1511.0,0.0,251.0,7376.0,5435.0,21572.0,5019.0,1012.0,122.0,380.0,169.0,2754.0,0.0,582.0,3499.0,10419.0,4892.0,1627.0,25939.0,12079.0,15169.0,2392.0,20739.0,1268.0,41.0,6336.0,3150.0,1620.0,7291.0,1185.0,16474.0,13989.0,6097.0,2484.0,2198.0,3158.0,451.0
10024,Manhattan,59283.0,69106.0,33952.0,1000001.0,0.86,0.0,30836.0,109956.0,27436.0,31847.0,49185.0,3381.0,128.0,3258.0,24.0,1700.0,1607.0,10386.0,2318.0,14834.0,3298.0,25294.0,5542.0,57923.0,0.0,0.0,516.0,0.0,123.0,0.0,721.0,6439.0,3838.0,20559.0,3116.0,961.0,80.0,317.0,143.0,1200.0,0.0,415.0,2543.0,8880.0,4810.0,2394.0,24472.0,12105.0,13385.0,2523.0,22686.0,1197.0,0.0,4019.0,2517.0,2263.0,7322.0,885.0,15984.0,11755.0,6154.0,2489.0,2407.0,4955.0,326.0
10025,Manhattan,94600.0,125860.0,47617.0,934600.0,0.75,0.0,44432.0,68516.0,43291.0,51309.0,61358.0,13545.0,421.0,7803.0,54.0,7265.0,4154.0,12750.0,6236.0,19792.0,5654.0,36052.0,8380.0,87972.0,0.0,32.0,1043.0,21.0,3915.0,0.0,1617.0,7085.0,3837.0,33510.0,3185.0,1361.0,147.0,304.0,102.0,685.0,1.0,585.0,4373.0,12082.0,11389.0,5657.0,33110.0,23269.0,28696.0,3396.0,33317.0,913.0,185.0,6931.0,4101.0,7218.0,13679.0,2511.0,21443.0,17914.0,5784.0,4620.0,5759.0,4105.0,375.0
10026,Manhattan,34003.0,102315.0,15823.0,602400.0,0.33,0.0,14199.0,43107.0,15877.0,18126.0,7473.0,19960.0,266.0,1459.0,38.0,3101.0,1706.0,2832.0,4293.0,5403.0,1671.0,10169.0,4030.0,32543.0,213.0,0.0,30.0,0.0,0.0,0.0,1217.0,2019.0,717.0,11463.0,1624.0,733.0,53.0,327.0,57.0,44.0,0.0,410.0,795.0,3377.0,4948.0,2328.0,12637.0,5812.0,12060.0,1412.0,12240.0,125.0,23.0,1582.0,1268.0,4403.0,9654.0,1297.0,5404.0,3446.0,673.0,410.0,4657.0,1046.0,677.0
10027,Manhattan,59707.0,68513.0,25071.0,716100.0,0.87,0.0,22839.0,37872.0,27465.0,32242.0,18562.0,26420.0,459.0,4518.0,28.0,6813.0,2907.0,4897.0,6467.0,8664.0,2811.0,16760.0,6079.0,51653.0,0.0,233.0,64.0,0.0,6334.0,0.0,1423.0,1804.0,1165.0,19870.0,2232.0,1169.0,51.0,275.0,76.0,110.0,0.0,551.0,1478.0,5205.0,8611.0,4366.0,17459.0,12485.0,23011.0,2113.0,16305.0,233.0,36.0,5144.0,2039.0,7209.0,12966.0,1989.0,7917.0,6257.0,1193.0,2229.0,7027.0,1440.0,686.0
10028,Manhattan,45141.0,143683.0,28139.0,1000001.0,0.31,0.0,25158.0,104638.0,19961.0,25180.0,39596.0,767.0,35.0,3331.0,17.0,478.0,917.0,8038.0,1328.0,12988.0,2804.0,21321.0,3837.0,44983.0,0.0,11.0,0.0,0.0,0.0,0.0,147.0,4512.0,3803.0,16843.0,2981.0,965.0,69.0,297.0,125.0,1191.0,0.0,334.0,3609.0,8381.0,3745.0,766.0,21054.0,8580.0,8785.0,2695.0,15728.0,1631.0,0.0,4530.0,2100.0,862.0,4659.0,1065.0,14022.0,8644.0,4559.0,1552.0,1642.0,2949.0,214.0
10029,Manhattan,76003.0,92116.0,31121.0,787000.0,0.83,0.0,29378.0,31888.0,34808.0,41195.0,24775.0,23910.0,830.0,5241.0,78.0,17369.0,3800.0,6187.0,10696.0,10151.0,2344.0,20090.0,9288.0,71884.0,0.0,202.0,835.0,186.0,1037.0,0.0,1859.0,1118.0,908.0,27352.0,1743.0,1143.0,62.0,129.0,17.0,136.0,0.0,256.0,2285.0,8285.0,11133.0,5147.0,23285.0,12250.0,27178.0,2592.0,21306.0,340.0,16.0,5984.0,1099.0,13479.0,19656.0,2663.0,9045.0,3851.0,1719.0,754.0,11418.0,997.0,1844.0
10030,Manhattan,26999.0,96790.0,12976.0,509000.0,0.28,0.0,11395.0,31925.0,12560.0,14439.0,2958.0,19399.0,244.0,423.0,24.0,2887.0,1064.0,1784.0,3930.0,4745.0,936.0,7947.0,3448.0,26125.0,0.0,48.0,0.0,0.0,0.0,0.0,826.0,895.0,249.0,10251.0,1581.0,816.0,15.0,174.0,58.0,22.0,5.0,491.0,1439.0,3528.0,3400.0,1774.0,8291.0,5750.0,9089.0,1187.0,8354.0,175.0,102.0,1017.0,727.0,4452.0,8232.0,1100.0,3537.0,1533.0,386.0,139.0,3808.0,737.0,439.0
